DisNo.,type_name
1999-9388-SDN,Food shortage
1999-9388-SDN,Water shortage
1999-9388-SOM,Food shortage
2000-0009-IRN,Fire
2000-0019-BRA,"Slide (land, mud, snow, rock)"
2000-0038-PHL,"Slide (land, mud, snow, rock)"
2000-0050-MNG,Cold wave
2000-0080-USA,"Slide (land, mud, snow, rock)"
2000-0097-AUS,Flood
2000-0103-ZMB,Broken Dam/Burst bank
2000-0107-MDG,Flood
2000-0129-PER,"Slide (land, mud, snow, rock)"
2000-0178-MDG,Rain
2000-0230-IDN,Tsunami/Tidal wave
2000-0257-PHL,Flood
2000-0265-COL,"Slide (land, mud, snow, rock)"
2000-0265-COL,Transport accident
2000-0270-CHN,Flood
2000-0274-JPN,Hail
2000-0283-BGD,Flood
2000-0293-IDN,"Slide (land, mud, snow, rock)"
2000-0311-AUT,Hail
2000-0332-IND,Broken Dam/Burst bank
2000-0333-MEX,"Slide (land, mud, snow, rock)"
2000-0372-CHN,Rain
2000-0372-CHN,"Slide (land, mud, snow, rock)"
2000-0373-BGD,"Slide (land, mud, snow, rock)"
2000-0375-CHL,Rain
2000-0381-TUR,Drought
2000-0472-CHN,"Slide (land, mud, snow, rock)"
2000-0480-RUS,"Slide (land, mud, snow, rock)"
2000-0484-BTN,"Slide (land, mud, snow, rock)"
2000-0500-USA,"Slide (land, mud, snow, rock)"
2000-0557-CHN,Flood
2000-0572-PRK,Surge
2000-0597-PHL,Flood
2000-0606-JPN,"Slide (land, mud, snow, rock)"
2000-0609-GTM,"Slide (land, mud, snow, rock)"
2000-0656-JPN,"Slide (land, mud, snow, rock)"
2000-0677-CHN,"Slide (land, mud, snow, rock)"
2000-0706-TWN,Flood
2000-0706-TWN,"Slide (land, mud, snow, rock)"
2000-0714-GBR,Flood
2000-0749-PNG,Tsunami/Tidal wave
2000-0791-IDN,"Slide (land, mud, snow, rock)"
2000-0809-BRA,"Slide (land, mud, snow, rock)"
2000-0831-LKA,Rain
2000-0831-LKA,Surge
2000-0838-USA,Transport accident
2000-0905-BOL,"Slide (land, mud, snow, rock)"
2000-0917-ZAF,Rain
2000-0919-USA,Cold wave
2000-9186-AFG,Famine
2000-9186-AFG,Water shortage
2000-9222-IND,Food shortage
2000-9222-IND,Heat wave
2000-9495-ARM,Heat wave
2000-9537-BIH,Heat wave
2000-9604-MNG,Wildfire
2000-9712-USA,Wildfire
2000-9860-HND,Famine
2000-9860-NIC,Famine
2001-0013-SLV,"Slide (land, mud, snow, rock)"
2001-0040-PRT,"Slide (land, mud, snow, rock)"
2001-0042-SLV,"Slide (land, mud, snow, rock)"
2001-0051-IDN,"Slide (land, mud, snow, rock)"
2001-0106-USA,Transport accident
2001-0145-USA,Hail
2001-0151-CHN,"Slide (land, mud, snow, rock)"
2001-0176-THA,"Slide (land, mud, snow, rock)"
2001-0242-USA,Flood
2001-0266-USA,Flood
