ISO,Country,Subregion,Region
DJI,Djibouti,Sub-Saharan Africa,Africa
SDN,Sudan,Northern Africa,Africa
SOM,Somalia,Sub-Saharan Africa,Africa
AGO,Angola,Sub-Saharan Africa,Africa
BGD,Bangladesh,Southern Asia,Asia
GTM,Guatemala,Latin America and the Caribbean,Americas
IRN,Iran (Islamic Republic of),Southern Asia,Asia
MOZ,Mozambique,Sub-Saharan Africa,Africa
ZAF,South Africa,Sub-Saharan Africa,Africa
BRA,Brazil,Latin America and the Caribbean,Americas
IND,India,Southern Asia,Asia
USA,United States of America,Northern America,Americas
ROU,Romania,Eastern Europe,Europe
BGR,Bulgaria,Eastern Europe,Europe
CHN,China,Eastern Asia,Asia
REU,Réunion,Sub-Saharan Africa,Africa
PHL,Philippines,South-eastern Asia,Asia
BWA,Botswana,Sub-Saharan Africa,Africa
MNG,Mongolia,Eastern Asia,Asia
RUS,Russian Federation,Eastern Europe,Europe
COG,Congo,Sub-Saharan Africa,Africa
AFG,Afghanistan,Southern Asia,Asia
ETH,Ethiopia,Sub-Saharan Africa,Africa
TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa
LSO,Lesotho,Sub-Saharan Africa,Africa
KEN,Kenya,Sub-Saharan Africa,Africa
BIH,Bosnia and Herzegovina,Southern Europe,Europe
ISL,Iceland,Northern Europe,Europe
NAM,Namibia,Sub-Saharan Africa,Africa
COL,Colombia,Latin America and the Caribbean,Americas
IDN,Indonesia,South-eastern Asia,Asia
ZWE,Zimbabwe,Sub-Saharan Africa,Africa
EGY,Egypt,Northern Africa,Africa
ISR,Israel,Western Asia,Asia
JOR,Jordan,Western Asia,Asia
SWZ,Eswatini,Sub-Saharan Africa,Africa
AUS,Australia,Australia and New Zealand,Oceania
ZMB,Zambia,Sub-Saharan Africa,Africa
MDG,Madagascar,Sub-Saharan Africa,Africa
NGA,Nigeria,Sub-Saharan Africa,Africa
ARG,Argentina,Latin America and the Caribbean,Americas
MWI,Malawi,Sub-Saharan Africa,Africa
PAK,Pakistan,Southern Asia,Asia
COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa
PER,Peru,Latin America and the Caribbean,Americas
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas
TCD,Chad,Sub-Saharan Africa,Africa
AUT,Austria,Western Europe,Europe
NER,Niger,Sub-Saharan Africa,Africa
MYS,Malaysia,South-eastern Asia,Asia
CMR,Cameroon,Sub-Saharan Africa,Africa
CZE,Czechia,Eastern Europe,Europe
JPN,Japan,Eastern Asia,Asia
CAF,Central African Republic,Sub-Saharan Africa,Africa
BEN,Benin,Sub-Saharan Africa,Africa
TUR,Türkiye,Western Asia,Asia
HUN,Hungary,Eastern Europe,Europe
KOR,Republic of Korea,Eastern Asia,Asia
SCG,Serbia Montenegro,Southern Europe,Europe
ECU,Ecuador,Latin America and the Caribbean,Americas
SAU,Saudi Arabia,Western Asia,Asia
HND,Honduras,Latin America and the Caribbean,Americas
GUF,French Guiana,Latin America and the Caribbean,Americas
KAZ,Kazakhstan,Central Asia,Asia
BDI,Burundi,Sub-Saharan Africa,Africa
FSM,Micronesia (Federated States of),Micronesia,Oceania
GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe
BLR,Belarus,Eastern Europe,Europe
